,timestamp,home_team,away_team,score,season,round,date
4817,469,Aston Villa,Manchester City,-:-,2021/2022,14,01/12/2021
4831,469,Manchester United,Arsenal FC,-:-,2021/2022,14,02/12/2021
4816,469,Southampton FC,Leicester City,-:-,2021/2022,14,01/12/2021
4830,469,Tottenham Hotspur,Brentford FC,-:-,2021/2022,14,02/12/2021
4815,469,Wolverhampton Wanderers,Burnley FC,-:-,2021/2022,14,01/12/2021
4818,469,Everton FC,Liverpool FC,-:-,2021/2022,14,01/12/2021
4792,469,Newcastle United,Norwich City,1:1,2021/2022,14,30/11/2021
4802,469,West Ham United,Brighton & Hove Albion,-:-,2021/2022,14,01/12/2021
4801,469,Watford FC,Chelsea FC,-:-,2021/2022,14,01/12/2021
4800,469,Leeds United,Crystal Palace,1:0,2021/2022,14,30/11/2021
4835,470,Leeds United,Brentford FC,-:-,2021/2022,15,05/12/2021
4814,470,West Ham United,Chelsea FC,-:-,2021/2022,15,04/12/2021
4840,470,Aston Villa,Leicester City,-:-,2021/2022,15,05/12/2021
4841,470,Everton FC,Arsenal FC,-:-,2021/2022,15,06/12/2021
4829,470,Watford FC,Manchester City,-:-,2021/2022,15,04/12/2021
4828,470,Wolverhampton Wanderers,Liverpool FC,-:-,2021/2022,15,04/12/2021
4827,470,Newcastle United,Burnley FC,-:-,2021/2022,15,04/12/2021
4826,470,Southampton FC,Brighton & Hove Albion,-:-,2021/2022,15,04/12/2021
4836,470,Manchester United,Crystal Palace,-:-,2021/2022,15,05/12/2021
4837,470,Tottenham Hotspur,Norwich City,-:-,2021/2022,15,05/12/2021
4843,471,Arsenal FC,Southampton FC,-:-,2021/2022,16,11/12/2021
4844,471,Chelsea FC,Leeds United,-:-,2021/2022,16,11/12/2021
4859,471,Burnley FC,West Ham United,-:-,2021/2022,16,12/12/2021
4842,471,Manchester City,Wolverhampton Wanderers,-:-,2021/2022,16,11/12/2021
4848,471,Liverpool FC,Aston Villa,-:-,2021/2022,16,11/12/2021
4849,471,Norwich City,Manchester United,-:-,2021/2022,16,11/12/2021
4838,471,Brentford FC,Watford FC,-:-,2021/2022,16,10/12/2021
4850,471,Brighton & Hove Albion,Tottenham Hotspur,-:-,2021/2022,16,12/12/2021
4861,471,Crystal Palace,Everton FC,-:-,2021/2022,16,12/12/2021
4860,471,Leicester City,Newcastle United,-:-,2021/2022,16,12/12/2021
4839,472,Brentford FC,Manchester United,-:-,2021/2022,17,14/12/2021
4853,472,Burnley FC,Watford FC,-:-,2021/2022,17,15/12/2021
4852,472,Brighton & Hove Albion,Wolverhampton Wanderers,-:-,2021/2022,17,15/12/2021
4876,472,Liverpool FC,Newcastle United,-:-,2021/2022,17,16/12/2021
4865,472,Arsenal FC,West Ham United,-:-,2021/2022,17,15/12/2021
4846,472,Manchester City,Leeds United,-:-,2021/2022,17,14/12/2021
4854,472,Crystal Palace,Southampton FC,-:-,2021/2022,17,15/12/2021
4866,472,Leicester City,Tottenham Hotspur,-:-,2021/2022,17,16/12/2021
4867,472,Chelsea FC,Everton FC,-:-,2021/2022,17,16/12/2021
4845,472,Norwich City,Aston Villa,-:-,2021/2022,17,14/12/2021
4878,473,Tottenham Hotspur,Liverpool FC,-:-,2021/2022,18,19/12/2021
4868,473,Leeds United,Arsenal FC,-:-,2021/2022,18,18/12/2021
4858,473,West Ham United,Norwich City,-:-,2021/2022,18,18/12/2021
4869,473,Everton FC,Leicester City,-:-,2021/2022,18,19/12/2021
4870,473,Wolverhampton Wanderers,Chelsea FC,-:-,2021/2022,18,19/12/2021
4857,473,Watford FC,Crystal Palace,-:-,2021/2022,18,18/12/2021
4877,473,Newcastle United,Manchester City,-:-,2021/2022,18,19/12/2021
4855,473,Aston Villa,Burnley FC,-:-,2021/2022,18,18/12/2021
4847,473,Manchester United,Brighton & Hove Albion,-:-,2021/2022,18,18/12/2021
4856,473,Southampton FC,Brentford FC,-:-,2021/2022,18,18/12/2021
4851,474,Liverpool FC,Leeds United,-:-,2021/2022,19,26/12/2021
4885,474,Aston Villa,Chelsea FC,-:-,2021/2022,19,26/12/2021
4875,474,West Ham United,Southampton FC,-:-,2021/2022,19,26/12/2021
4862,474,Wolverhampton Wanderers,Watford FC,-:-,2021/2022,19,26/12/2021
4863,474,Burnley FC,Everton FC,-:-,2021/2022,19,26/12/2021
4864,474,Manchester City,Leicester City,-:-,2021/2022,19,26/12/2021
4874,474,Tottenham Hotspur,Crystal Palace,-:-,2021/2022,19,26/12/2021
4873,474,Norwich City,Arsenal FC,-:-,2021/2022,19,26/12/2021
4887,474,Newcastle United,Manchester United,-:-,2021/2022,19,27/12/2021
4886,474,Brighton & Hove Albion,Brentford FC,-:-,2021/2022,19,26/12/2021
4883,475,Southampton FC,Tottenham Hotspur,-:-,2021/2022,20,28/12/2021
4894,475,Leicester City,Liverpool FC,-:-,2021/2022,20,28/12/2021
4893,475,Leeds United,Aston Villa,-:-,2021/2022,20,28/12/2021
4895,475,Chelsea FC,Brighton & Hove Albion,-:-,2021/2022,20,29/12/2021
4906,475,Brentford FC,Manchester City,-:-,2021/2022,20,29/12/2021
4907,475,Everton FC,Newcastle United,-:-,2021/2022,20,30/12/2021
4882,475,Crystal Palace,Norwich City,-:-,2021/2022,20,28/12/2021
4884,475,Watford FC,West Ham United,-:-,2021/2022,20,28/12/2021
4908,475,Manchester United,Burnley FC,-:-,2021/2022,20,30/12/2021
4872,475,Arsenal FC,Wolverhampton Wanderers,-:-,2021/2022,20,28/12/2021
4921,476,Manchester United,Wolverhampton Wanderers,-:-,2021/2022,21,03/01/2022
4920,476,Chelsea FC,Liverpool FC,-:-,2021/2022,21,02/01/2022
4919,476,Leeds United,Burnley FC,-:-,2021/2022,21,02/01/2022
4914,476,Southampton FC,Newcastle United,-:-,2021/2022,21,02/01/2022
4913,476,Everton FC,Brighton & Hove Albion,-:-,2021/2022,21,02/01/2022
4912,476,Brentford FC,Aston Villa,-:-,2021/2022,21,02/01/2022
4905,476,Crystal Palace,West Ham United,-:-,2021/2022,21,01/01/2022
4904,476,Leicester City,Norwich City,-:-,2021/2022,21,01/01/2022
4903,476,Watford FC,Tottenham Hotspur,-:-,2021/2022,21,01/01/2022
4892,476,Arsenal FC,Manchester City,-:-,2021/2022,21,01/01/2022
4902,477,Tottenham Hotspur,Arsenal FC,-:-,2021/2022,22,16/01/2022
4901,477,West Ham United,Leeds United,-:-,2021/2022,22,16/01/2022
4900,477,Aston Villa,Manchester United,-:-,2021/2022,22,15/01/2022
4879,477,Manchester City,Chelsea FC,-:-,2021/2022,22,15/01/2022
4889,477,Burnley FC,Leicester City,-:-,2021/2022,22,15/01/2022
4871,477,Brighton & Hove Albion,Crystal Palace,-:-,2021/2022,22,14/01/2022
4880,477,Liverpool FC,Brentford FC,-:-,2021/2022,22,15/01/2022
4881,477,Norwich City,Everton FC,-:-,2021/2022,22,15/01/2022
4891,477,Newcastle United,Watford FC,-:-,2021/2022,22,15/01/2022
4890,477,Wolverhampton Wanderers,Southampton FC,-:-,2021/2022,22,15/01/2022
4911,478,Southampton FC,Manchester City,-:-,2021/2022,23,22/01/2022
4916,478,Crystal Palace,Liverpool FC,-:-,2021/2022,23,23/01/2022
4888,478,Watford FC,Norwich City,-:-,2021/2022,23,21/01/2022
4917,478,Chelsea FC,Tottenham Hotspur,-:-,2021/2022,23,23/01/2022
4899,478,Leeds United,Newcastle United,-:-,2021/2022,23,22/01/2022
4898,478,Brentford FC,Wolverhampton Wanderers,-:-,2021/2022,23,22/01/2022
4897,478,Arsenal FC,Burnley FC,-:-,2021/2022,23,22/01/2022
4896,478,Everton FC,Aston Villa,-:-,2021/2022,23,22/01/2022
4909,478,Leicester City,Brighton & Hove Albion,-:-,2021/2022,23,22/01/2022
4910,478,Manchester United,West Ham United,-:-,2021/2022,23,22/01/2022
4925,479,Wolverhampton Wanderers,Arsenal FC,-:-,2021/2022,24,08/02/2022
4934,479,West Ham United,Watford FC,-:-,2021/2022,24,08/02/2022
